Nombre,Provincia,Altura,Nro,Latitud,Longitud
AEROPARQUE AERO,CAPITAL FEDERAL,6,87582,-34.56666667,-58.41666667
AZUL AERO,BUENOS AIRES,147,87641,-36.83333333,-59.88333333
BAHIA BLANCA AERO,BUENOS AIRES,83,87750,-38.71666667,-62.16666667
BARILOCHE AERO,RIO NEGRO,835,87765,-41.15,-71.16666667
BASE BELGRANO II,ANTARTIDA,256,89034,-77.86666667,-34.63333333
BASE CARLINI (EX JUBANY),ANTARTIDA,11,89053,-62.23333333,-58.66666667
BASE ESPERANZA,ANTARTIDA,24,88963,-63.4,-57
BASE MARAMBIO,ANTARTIDA,198,89055,-64.23333333,-56.63333333
BASE ORCADAS,ANTARTIDA,12,88968,-60.73333333,-44.73333333
BASE SAN MARTIN,ANTARTIDA,7,89066,-68.13333333,-67.1
BENITO JUAREZ AERO,BUENOS AIRES,207,87649,-37.7,-59.78333333
BERNARDO DE IRIGOYEN AERO,MISIONES,815,87163,-26.28333333,-53.66666667
BOLIVAR AERO,BUENOS AIRES,94,87640,-36.18333333,-61.06666667
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,25,87585,-34.58333333,-58.48333333
CAMPO DE MAYO AERO,BUENOS AIRES,26,87570,-34.53333333,-58.68333333
CATAMARCA AERO,CATAMARCA,464,87222,-28.6,-65.75
CERES AERO,SANTA FE,88,87257,-29.88333333,-61.93333333
CHAMICAL AERO,LA RIOJA,461,87320,-30.35,-66.3
CHAPELCO AERO,NEUQUEN,779,87761,-40.08333333,-71.15
CHEPES,LA RIOJA,658,87322,-31.33333333,-66.58333333
CHILECITO AERO,LA RIOJA,947,87213,-29.21666667,-67.45
CIPOLLETTI,RIO NEGRO,265,87719,-38.93333333,-67.98333333
COMODORO RIVADAVIA AERO,CHUBUT,46,87860,-45.8,-67.46666667
CONCORDIA AERO,ENTRE RIOS,38,87395,-31.3,-58
CORDOBA AERO,CORDOBA,495,87344,-31.3,-64.21666667
CORDOBA OBSERVATORIO,CORDOBA,425,87345,-31.41666667,-64.2
CORONEL PRINGLES AERO,BUENOS AIRES,247,87683,-38,-61.33333333
CORONEL SUAREZ AERO,BUENOS AIRES,233,87637,-37.45,-61.88333333
CORRIENTES AERO,CORRIENTES,62,87166,-27.45,-58.76666667
DOLORES AERO,BUENOS AIRES,9,87648,-36.31666667,-57.71666667
EL BOLSON AERO,RIO NEGRO,337,87800,-41.95,-71.53333333
EL CALAFATE AERO,SANTA CRUZ,204,87904,-50.28333333,-72.05
EL PALOMAR AERO,BUENOS AIRES,12,87571,-34.6,-58.61666667
EL TREBOL,SANTA FE,96,87470,-32.2,-61.71666667
ESCUELA DE AVIACION MILITAR AERO,CORDOBA,502,87347,-31.45,-64.28333333
ESQUEL AERO,CHUBUT,797,87803,-42.9,-71.15
EZEIZA AERO,BUENOS AIRES,20,87576,-34.81666667,-58.55
FORMOSA AERO,FORMOSA,60,87162,-26.21666667,-58.23333333
GENERAL PICO AERO,LA PAMPA,145,87532,-35.68333333,-63.76666667
GOBERNADOR GREGORES AERO,SANTA CRUZ,358,87880,-48.78333333,-70.16666667
GUALEGUAYCHU AERO,ENTRE RIOS,23,87497,-33.01666667,-58.61666667
IGUAZU AERO,MISIONES,270,87097,-25.73333333,-54.48333333
ITUZAINGO,CORRIENTES,72,87173,-27.58333333,-56.68333333
JACHAL,SAN JUAN,1175,87305,-30.23333333,-68.73333333
JUJUY AERO,JUJUY,907,87046,-24.38333333,-65.1
JUJUY U N,JUJUY,1302,87043,-24.18333333,-65.33333333
JUNIN AERO,BUENOS AIRES,81,87548,-34.55,-60.93333333
LA PLATA AERO,BUENOS AIRES,23,87593,-34.96666667,-57.9
LA QUIACA OBSERVATORIO,JUJUY,3459,87007,-22.1,-65.6
LA RIOJA AERO,LA RIOJA,429,87217,-29.38333333,-66.8
LABOULAYE AERO,CORDOBA,137,87534,-34.13333333,-63.36666667
LAS FLORES,BUENOS AIRES,36,87563,-36.03333333,-59.13333333
LAS LOMITAS,FORMOSA,130,87078,-24.7,-60.6
MALARGUE AERO,MENDOZA,1425,87506,-35.48333333,-69.58333333
MAQUINCHAO,RIO NEGRO,888,87774,-41.25,-68.7
MAR DEL PLATA AERO,BUENOS AIRES,21,87692,-37.93333333,-57.58333333
MARCOS JUAREZ AERO,CORDOBA,114,87467,-32.68333333,-62.15
MARIANO MORENO AERO,BUENOS AIRES,32,87572,-34.55,-58.78333333
MENDOZA AERO,MENDOZA,704,87418,-32.85,-68.8
MENDOZA OBSERVATORIO,MENDOZA,827,87420,-32.9,-68.86666667
MERCEDES AERO (CTES),CORRIENTES,107,87281,-29.23333333,-58.08333333
MERLO AERO,BUENOS AIRES,36,87573,-34.68333333,-58.75
METAN,SALTA,855,87050,-25.51666667,-64.96666667
MONTE CASEROS AERO,CORRIENTES,54,87393,-30.26666667,-57.63333333
MORON AERO,BUENOS AIRES,24,87574,-34.66666667,-58.63333333
NEUQUEN AERO,NEUQUEN,271,87715,-38.95,-68.13333333
NUEVE DE JULIO,BUENOS AIRES,76,87550,-35.43333333,-60.88333333
OBERA,MISIONES,303,87187,-27.48333333,-55.13333333
OLAVARRIA AERO,BUENOS AIRES,166,87643,-36.88333333,-60.21666667
ORAN AERO,SALTA,357,87016,-23.15,-64.33333333
PARANA AERO,ENTRE RIOS,78,87374,-31.78333333,-60.48333333
PASO DE INDIOS,CHUBUT,460,87814,-43.7,-69.05
PASO DE LOS LIBRES AERO,CORRIENTES,70,87289,-29.68333333,-57.15
PEHUAJO AERO,BUENOS AIRES,87,87544,-35.83333333,-61.86666667
PERITO MORENO AERO,SANTA CRUZ,429,87852,-46.53333333,-70.98333333
PIGUE AERO,BUENOS AIRES,304,87679,-37.6,-62.38333333
PILAR OBSERVATORIO,CORDOBA,338,87349,-31.66666667,-63.88333333
POSADAS AERO,MISIONES,125,87178,-27.38333333,-55.96666667
PRESIDENCIA ROQUE SAENZ PEÃ‘A AERO,CHACO,93,87148,-26.75,-60.48333333
PUERTO DESEADO AERO,SANTA CRUZ,80,87896,-47.73333333,-65.9
PUERTO MADRYN AERO,CHUBUT,136,87823,-42.75,-65.1
PUNTA INDIO B.A.,BUENOS AIRES,22,87596,-35.35,-57.3
RAFAELA AERO,SANTA FE,99,87360,-31.28333333,-61.51666667
RECONQUISTA AERO,SANTA FE,53,87270,-29.2,-59.7
RESISTENCIA AERO,CHACO,52,87155,-27.43333333,-59.05
RIO COLORADO,RIO NEGRO,79,87736,-38.98333333,-64.08333333
RIO CUARTO AERO,CORDOBA,421,87453,-33.1,-64.28333333
RIO GALLEGOS AERO,SANTA CRUZ,19,87925,-51.61666667,-69.3
RIO GRANDE B.A.,TIERRA DEL FUEGO,22,87934,-53.78333333,-67.76666667
RIVADAVIA,SALTA,205,87065,-24.18333333,-62.88333333
ROSARIO AERO,SANTA FE,25,87480,-32.9,-60.78333333
SALTA AERO,SALTA,1221,87047,-24.85,-65.48333333
SAN ANTONIO OESTE AERO,RIO NEGRO,20,87784,-40.75,-65.03333333
SAN CARLOS (MZA),MENDOZA,940,87412,-33.76666667,-69.05
SAN FERNANDO AERO,BUENOS AIRES,5,87553,-34.45,-58.58333333
SAN JUAN AERO,SAN JUAN,598,87311,-31.56666667,-68.41666667
SAN JULIAN AERO,SANTA CRUZ,62,87909,-49.3,-67.8
SAN LUIS AERO,SAN LUIS,713,87436,-33.26666667,-66.35
SAN MARTIN (MZA),MENDOZA,653,87416,-33.06666667,-68.46666667
SAN RAFAEL AERO,MENDOZA,748,87509,-34.58333333,-68.4
SANTA CRUZ AERO,SANTA CRUZ,111,87912,-50.01666667,-68.58333333
SANTA ROSA AERO,LA PAMPA,191,87623,-36.6,-64.28333333
SANTA ROSA DE CONLARA AERO,SAN LUIS,620,87444,-32.38333333,-65.18333333
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO,199,87129,-27.75,-64.3
SAUCE VIEJO AERO,SANTA FE,18,87371,-31.7,-60.8
SUNCHALES AERO,SANTA FE,92,87356,-30.95,-61.53333333
TANDIL AERO,BUENOS AIRES,175,87645,-37.23333333,-59.23333333
TARTAGAL AERO,SALTA,450,87022,-22.61666667,-63.8
TERMAS DE RIO HONDO AERO,SANTIAGO DEL ESTERO,280,87127,-27.5,-64.93333333
TINOGASTA,CATAMARCA,1201,87211,-28.06666667,-67.56666667
TRELEW AERO,CHUBUT,43,87828,-43.21666667,-65.28333333
TRENQUE LAUQUEN,BUENOS AIRES,95,87540,-35.96666667,-62.73333333
TRES ARROYOS,BUENOS AIRES,115,87688,-38.36666667,-60.28333333
TUCUMAN AERO,TUCUMAN,450,87121,-26.83333333,-65.11666667
USHUAIA AERO,TIERRA DEL FUEGO,57,87938,-54.83333333,-68.3
USPALLATA,MENDOZA,1891,87405,-32.6,-69.33333333
VENADO TUERTO AERO,SANTA FE,112,87468,-33.68333333,-61.96666667
VICTORICA,LA PAMPA,312,87616,-36.21666667,-65.43333333
VIEDMA AERO,RIO NEGRO,7,87791,-40.86666667,-63
VILLA DE MARIA DEL RIO SECO,CORDOBA,341,87244,-29.9,-63.73333333
VILLA DOLORES AERO,CORDOBA,566,87328,-31.95,-65.15
VILLA GESELL AERO,BUENOS AIRES,9,87663,-37.23333333,-57.01666667
VILLA REYNOLDS AERO,SAN LUIS,486,87448,-33.71666667,-65.36666667
